Ticker,community,page_rank,betweenness
AAPL,0,0.30000000000000004,0.0
ABBV,1,0.30000000000000004,0.0
ABT,2,0.30000000000000004,0.0
ACN,82,0.9992020773370239,0.0
ADBE,4,0.30000000000000004,0.0
ADI,223,1.2237095686644677,78.09067594822595
ADP,237,0.9992020773370239,0.0
ADSK,7,0.30000000000000004,0.0
AEE,115,1.0395432544198122,0.6834165834165835
AEP,115,1.0595033254362427,505.14835164835046
AES,115,0.36429361313609254,0.0
AFL,181,0.5456906160140257,0.0
AIZ,181,0.608999875575529,0.0
AJG,49,0.9992020773370239,0.0
AKAM,14,0.30000000000000004,0.0
ALB,15,0.30000000000000004,0.0
ALGN,16,0.30000000000000004,0.0
ALLE,280,0.7027450370297014,51.701423479450874
AMAT,223,1.4627525282343616,120.94120113213262
AMD,223,0.5066323539273151,0.0
AMP,280,1.375611840508503,138.62205192909974
AMT,109,0.4306732659844248,0.0
AMZN,212,0.9716067587556103,0.0
ANET,223,0.6112664184981006,0.0
AON,49,0.9992020773370239,0.0
AOS,280,0.5314557233590151,0.0
APA,253,1.228480530882449,5.666666666666666
APH,223,1.238520457825859,115.54003378270563
ARE,109,1.2151982901486738,88.01669400581243
ATO,115,0.991539749403952,0.5350649350649351
AVB,109,1.0842734186710237,21.384147608260434
AVGO,223,1.2338631044948878,57.62181672816806
AVY,32,0.30000000000000004,0.0
AXON,33,0.30000000000000004,0.0
AZO,235,0.9992020773370239,0.0
BA,35,0.30000000000000004,0.0
BALL,36,0.30000000000000004,0.0
BAX,37,0.30000000000000004,0.0
BBWI,38,0.30000000000000004,0.0
BBY,39,0.30000000000000004,0.0
BDX,40,0.30000000000000004,0.0
BEN,280,0.624295409747224,0.0
BG,42,0.30000000000000004,0.0
BKNG,43,0.30000000000000004,0.0
BKR,253,0.6142661596488844,0.3333333333333333
BLK,280,1.2325627567024608,52.1403923794079
BMY,46,0.30000000000000004,0.0
BR,47,0.30000000000000004,0.0
BRK-B,181,0.7156844770836741,30.071166580156785
BRO,49,0.9992020773370239,0.0
BSX,281,1.4106382268287394,1.0
BX,280,1.4321094418386848,571.8105569270881
BXP,109,1.1534977799875477,1240.928459715504
CAG,53,0.30000000000000004,0.0
CARR,280,0.7860801244088114,322.527878246803
CAT,280,0.6332847274257096,12.065368500745565
CB,181,0.7381528400489281,0.0
CBOE,57,0.30000000000000004,0.0
CBRE,109,0.8483645548663609,57.74241074659731
CCL,305,1.517188647526293,4.0
CDNS,223,0.6452027035700794,0.0
CDW,223,0.39346851114894643,0.0
CEG,223,0.7935696981878001,125.0
CF,63,0.30000000000000004,0.0
CHD,180,0.6184677637870671,0.0
CHRW,65,0.30000000000000004,0.0
CINF,181,0.9936523064033892,2.0952380952380953
CL,180,1.321857427795083,6.0
CME,68,0.30000000000000004,0.0
CMS,115,1.1038636740112209,2.191353091353091
CNC,104,0.9992020773370239,0.0
COF,280,0.98333144098554,9.681507587269241
COO,72,0.30000000000000004,0.0
COST,73,0.30000000000000004,0.0
CPRT,74,0.30000000000000004,0.0
CPT,109,0.9301514979163302,5.994242154924646
CRL,322,0.6005453899969946,0.0
CRM,222,0.9992020773370239,0.0
CSCO,78,0.30000000000000004,0.0
CSX,310,0.9992020773370239,0.0
CTAS,80,0.30000000000000004,0.0
CTRA,253,1.0660862184303608,2.333333333333333
CTSH,82,0.9992020773370239,0.0
CTVA,83,0.30000000000000004,0.0
CVX,253,1.0327978192116771,1.5
CZR,202,0.9992020773370239,0.0
DAL,305,0.8697054347897064,0.0
DD,183,0.6795924919811805,0.0
DE,88,0.30000000000000004,0.0
DG,89,0.30000000000000004,0.0
DHI,183,0.7171560526331917,0.0
DIS,91,0.30000000000000004,0.0
DLR,163,0.9992020773370239,0.0
DOC,109,1.1484801162985336,21.434092244827255
DOV,280,1.682601778445444,400.47609990510085
DPZ,95,0.30000000000000004,0.0
DRI,96,0.30000000000000004,0.0
DUK,115,1.1038636740112209,2.191353091353091
DXCM,98,0.30000000000000004,0.0
EA,99,0.30000000000000004,0.0
ECL,100,0.30000000000000004,0.0
ED,115,1.0522569893054834,1.442002442002442
EFX,296,0.9992020773370239,0.0
EIX,115,1.1072777279428203,559.4420024420019
ELV,104,0.9992020773370239,0.0
EMN,183,1.0127236942142706,248.0
EMR,280,1.1578658597499665,299.0743423237799
ENPH,107,0.30000000000000004,0.0
EOG,253,1.3676523658432176,8.0
EQR,109,1.1395937178826214,44.282199556312364
ESS,109,1.0842734186710237,21.384147608260434
ETN,223,2.039177633362736,1660.9070106670954
ETR,115,0.9445665042997329,0.4350649350649351
EVRG,115,1.1038636740112209,2.191353091353091
EW,114,0.30000000000000004,0.0
EXC,115,0.9397980507659432,0.07142857142857142
EXPD,116,0.30000000000000004,0.0
EXR,109,1.0469382836848988,15.097241164632472
FAST,280,0.563746336219525,0.0
FCX,119,0.30000000000000004,0.0
FDS,120,0.30000000000000004,0.0
FDX,121,0.30000000000000004,0.0
FE,115,1.1038636740112209,2.191353091353091
FFIV,123,0.30000000000000004,0.0
FI,124,0.30000000000000004,0.0
FICO,125,0.30000000000000004,0.0
FITB,280,1.2925974507287268,332.7250072105468
FOX,128,0.9992020773370239,0.0
FOXA,128,0.9992020773370239,0.0
FRT,109,1.2537021606291177,505.81947348705836
FTNT,130,0.30000000000000004,0.0
FTV,280,0.7560468779632449,2.2394506008632407
GD,185,0.9992020773370239,0.0
GE,133,0.30000000000000004,0.0
GILD,134,0.30000000000000004,0.0
GL,135,0.30000000000000004,0.0
GNRC,136,0.30000000000000004,0.0
